time,Q1,Q2,TC1,TC2
0,0,0,16.96,15.982
3.005,0,0,16.471,15.982
6.002,0,0,16.471,16.471
9.005,0,0,16.471,16.471
12.005,0,0,16.471,15.982
15.008,0,0,16.471,15.982
