Time (sec), Heater 1 (%), Heater 2 (%), Temperature 1 (degC), Temperature 2 (degC), Set Point 1 (degC), Set Point 2 (degC)
1.271719315052032471e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.607000000000000028e+01,2.341000000000000014e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.281719033718109131e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.632999999999999829e+01,2.367000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.291731972694396973e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.654999999999999716e+01,2.367000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.301738202571868896e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.671000000000000085e+01,2.382999999999999829e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.311745839118957520e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.681000000000000227e+01,2.369999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.321750729084014893e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.700000000000000000e+01,2.389999999999999858e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.331756851673126221e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.710000000000000142e+01,2.392999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.341763105392456055e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.732000000000000028e+01,2.405999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.351769540309906006e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.735999999999999943e+01,2.412000000000000099e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.361775743961334229e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.760999999999999943e+01,2.408999999999999986e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.371782143115997314e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.767999999999999972e+01,2.430999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.381944565773010254e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.793999999999999773e+01,2.425000000000000000e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.391864857673645020e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.796999999999999886e+01,2.451000000000000156e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.401872198581695557e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.796999999999999886e+01,2.435000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.411945252418518066e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.815999999999999659e+01,2.460000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.421944954395294189e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.839000000000000057e+01,2.467000000000000171e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.431959514617919922e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.860999999999999943e+01,2.485999999999999943e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.441961154937744141e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.864999999999999858e+01,2.492999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.452127923965454102e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.877000000000000313e+01,2.517999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.462128715515136719e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.906000000000000227e+01,2.501999999999999957e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.472097654342651367e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.906000000000000227e+01,2.517999999999999972e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.482104012966156006e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.928999999999999915e+01,2.530999999999999872e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.492266488075256348e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.928999999999999915e+01,2.535000000000000142e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.502429051399230957e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.952000000000000313e+01,2.546999999999999886e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.512456357479095459e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.954999999999999716e+01,2.569999999999999929e+01,2.300000000000000000e+01,2.300000000000000000e+01
1.522619540691375732e+02,1.000000000000000000e+02,5.000000000000000000e+01,4.984000000000000341e+01,2.564000000000000057e+01,2.300000000000000000e+01,2.300000000000000000e+01
